"chembl_id"," LogP"," SMR"," TPSA"," Molecular Weight"," Rotatable Bonds"," H-Bond Donors"," H-Bond Acceptors"," Aromatic Rings"
"CHEMBL1801008",4.7846,100.8745,62.22,370.115127068,6,2,4,3
"CHEMBL1801009",4.7846,100.8745,62.22,370.115127068,6,2,4,3
"CHEMBL1801010",4.7846,100.8745,62.22,370.115127068,6,2,4,3
"CHEMBL1801011",4.6455,100.9165,62.22,352.12454888,6,2,4,3
"CHEMBL1801012",4.6455,100.9165,62.22,352.12454888,6,2,4,3
"CHEMBL1801013",4.6455,100.9165,62.22,352.12454888,6,2,4,3
"CHEMBL1834533",4.9203,153.2296,93.06,590.247995312,5,2,6,2
"CHEMBL1834534",5.1218,150.4976,102.29,592.227259868,5,2,7,2
"CHEMBL1834535",4.9965,149.4176,93.06,576.232345248,4,2,6,2
"CHEMBL1834536",3.1617,150.0776,105.53,599.269459028,5,2,8,1
"CHEMBL1834537",6.2026,166.3276,93.06,654.192137312,6,2,8,2
"CHEMBL1834538",4.6259,154.8944,113.29,606.242909932,5,3,7,2
"CHEMBL1834539",3.6174,147.7524,148.3,610.212672424,5,3,10,2
"CHEMBL1834540",5.6218,159.9846,93.06,622.220066312,6,2,7,2
"CHEMBL1834541",5.6218,159.9846,93.06,622.220066312,6,2,7,2
"CHEMBL1834542",5.3274,161.6494,113.29,638.214980932,6,3,8,2
"CHEMBL1834543",5.3274,161.6494,113.29,638.214980932,6,3,8,2
"CHEMBL1834544",5.9808,166.6594,113.29,672.17600858,6,3,8,2
"CHEMBL1911144",5.5026,120.3517,77,428.13069688,5,1,6,4
"CHEMBL1911145",5.81102,125.0887,77,442.146346944,5,1,6,4
"CHEMBL1911146",5.81102,125.0887,77,442.146346944,5,1,6,4
"CHEMBL1911147",5.81102,125.0887,77,442.146346944,5,1,6,4
"CHEMBL1911148",5.5112,126.9037,86.23,458.141261564,6,1,7,4
"CHEMBL1911149",5.5112,126.9037,86.23,458.141261564,6,1,7,4
"CHEMBL1911150",6.065,129.7297,77,456.161997008,6,1,6,4
"CHEMBL1911151",6.4551,134.3467,77,470.177647072,7,1,6,4
"CHEMBL1911152",6.2898,136.1157,86.23,486.172561692,7,1,7,4
"CHEMBL1911153",5.2082,122.0165,97.23,444.1256115,5,2,7,4
"CHEMBL1911154",5.5686,134.6787,80.24,471.17289604,6,1,7,4
"CHEMBL1911155",5.2962,138.0785,111.14,520.123897248,7,1,8,4
"CHEMBL1911156",5.7052,130.3562,94.07,470.141261564,6,1,7,4
"CHEMBL1911157",6.4289,136.0737,86.23,504.16313988,7,1,7,4
"CHEMBL1911158",5.8443,130.3142,94.07,488.131839752,6,1,7,4
"CHEMBL1911159",5.2008,127.311,114.3,472.12052612,6,2,7,4
"CHEMBL1911160",4.6015,128.8696,120.09,471.136510532,6,2,7,4
"CHEMBL1911268",4.8622,133.7419,106.1,485.152160596,7,2,7,4
"CHEMBL1911269",5.0013,133.6999,106.1,503.142738784,7,2,7,4
"CHEMBL1911270",5.2044,138.3692,97.31,499.16781066,7,1,7,4
"CHEMBL1911271",5.2044,138.3692,97.31,499.16781066,7,1,7,4
"CHEMBL1911272",5.3435,138.3272,97.31,517.158388848,7,1,7,4
"CHEMBL1911273",5.5945,142.9862,97.31,513.183460724,8,1,7,4
"CHEMBL1911274",5.7336,142.9442,97.31,531.174038912,8,1,7,4
"CHEMBL1911275",6.2479,147.9962,97.31,547.144488372,8,1,7,4
"CHEMBL1911276",6.1287,150.1062,97.31,539.199110788,7,1,7,4
"CHEMBL1911277",6.2678,150.0642,97.31,557.189688976,7,1,7,4
"CHEMBL1911278",4.975,147.0742,106.54,541.178375344,7,1,8,4
"CHEMBL1911279",5.1141,147.0322,106.54,559.168953532,7,1,8,4
"CHEMBL1911280",5.8777,145.4472,97.31,543.174038912,7,1,7,4
"CHEMBL1911281",6.1229,145.7772,97.31,579.155195288,7,1,7,4
"CHEMBL1911282",6.6372,150.8292,97.31,595.125644748,7,1,7,4
"CHEMBL1911283",5.8094,140.5742,84.42,498.172561692,7,1,6,4
"CHEMBL1911284",5.2044,138.3692,97.31,499.16781066,7,1,7,4
"CHEMBL1911285",4.5994,136.1642,110.2,500.163059628,7,1,8,4
"CHEMBL1911542",5.5194,103.6025,45.25,409.166491856,7,2,2,3
"CHEMBL1911543",5.5194,103.6025,45.25,409.166491856,7,2,2,3
"CHEMBL1911544",5.6585,103.5605,45.25,427.157070044,7,2,2,3
"CHEMBL1911545",5.82782,108.3395,45.25,423.18214192,7,2,2,3
"CHEMBL1911546",6.5382,108.6045,45.25,477.153876484,8,2,2,3
"CHEMBL1911547",5.39108,108.3175,69.04,434.161740824,7,2,3,3
"CHEMBL1911548",5.82782,108.3395,45.25,423.18214192,7,2,2,3
"CHEMBL1911644",5.39108,108.3175,69.04,434.161740824,7,2,3,3
"CHEMBL1911646",5.6585,103.5605,45.25,427.157070044,7,2,2,3
"CHEMBL1911647",5.82782,108.3395,45.25,423.18214192,7,2,2,3
"CHEMBL1911648",6.5382,108.6045,45.25,477.153876484,8,2,2,3
"CHEMBL1911649",5.39108,108.3175,69.04,434.161740824,7,2,3,3
"CHEMBL1911650",5.39108,108.3175,69.04,434.161740824,7,2,3,3
"CHEMBL1911651",5.6585,103.5605,45.25,427.157070044,7,2,2,3
"CHEMBL1911652",5.82782,108.3395,45.25,423.18214192,7,2,2,3
"CHEMBL1911653",6.5382,108.6045,45.25,477.153876484,8,2,2,3
"CHEMBL1911654",5.39108,108.3175,69.04,434.161740824,7,2,3,3
"CHEMBL1911655",5.3066,106.2915,45.25,403.175913668,6,2,2,3
"CHEMBL1911656",5.4457,106.2495,45.25,421.166491856,6,2,2,3
"CHEMBL1911657",5.61502,111.0285,45.25,417.191563732,6,2,2,3
