molregno,EC50 [nm],SlogP,SMR,LabuteASA,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles
389286,0.2,6.1195,130.1883,190.8099277216,70.95,447.15042928,3,3,6,0,6,32,57,5,3,0,2,1,0,2,2,0,0
389287,0.2,6.7736,134.9785,197.4941813133,59.95,461.166079344,4,2,6,0,6,33,60,5,3,0,2,1,0,2,2,0,0
389288,1.6,6.1361,141.0073,208.6533571799,80.18,491.176644028,6,3,7,0,7,35,64,5,3,0,2,1,0,2,2,0,0
389289,0.5,7.2791,142.0272,216.7920465906,62.75,528.169448384,6,3,6,0,9,37,64,5,3,0,2,1,0,2,2,0,0
389290,0.2,6.49888,128.9805,190.4082736509,74.51,442.135113564,2,2,6,0,6,32,54,5,3,0,2,1,0,2,2,0,0
389291,0.6333333333,7.2229,135.2803,209.6714760448,70.95,515.137813908,4,3,6,0,9,36,60,5,3,0,2,1,0,2,2,0,0
389292,0.4,8.3902,155.171,227.3610376023,67.79,527.213029536,4,2,6,0,6,38,71,6,3,1,3,1,0,2,2,1,1
389293,0.6,6.8298,134.27,196.5421581838,67.79,459.15042928,3,2,6,0,6,33,58,5,3,0,2,1,0,2,2,0,0
389295,5,6.8254,138.263,202.0242308213,83.31,474.161328312,3,3,7,0,7,34,60,5,3,0,2,1,0,2,2,0,0
389296,1.3,6.6805,134.8993,197.174869836,70.95,461.166079344,3,3,6,0,6,33,60,5,3,0,2,1,0,2,2,0,0
389297,0.6,7.8508,148.7503,216.2696961792,70.95,503.213029536,6,3,6,0,6,36,69,5,3,0,2,1,0,2,2,0,0
389298,0.1,6.9976,143.4855,208.708484413,72.31,488.176978376,4,2,7,0,7,35,63,5,3,0,2,1,0,2,2,0,0
389299,1.15,7.3877,148.1025,215.0734265274,72.31,502.19262844,5,2,7,0,7,36,66,5,3,0,2,1,0,2,2,0,0
389300,1.4,6.4138,135.605,201.6557034133,77.02,475.1453439,4,2,7,0,7,34,59,5,3,0,2,1,0,2,2,0,0
389301,0.5,8.4405,148.2075,210.7858593948,50.72,485.202464852,4,2,5,0,5,35,66,5,3,0,2,1,0,2,2,0,0
395865,199,5.2399,107.3938,167.861343237,38.05,392.170019764,3,1,3,0,5,29,51,5,3,1,2,1,0,0,2,1,2
395868,12,5.5524,109.9298,167.7011132188,38.05,394.151512576,3,1,4,0,5,28,51,5,3,1,2,2,0,0,1,1,2
395869,83,5.1623,105.3128,161.3361711044,38.05,380.135862512,3,1,4,0,5,27,48,5,3,1,2,2,0,0,1,1,2
395870,2.1,5.1623,105.3128,161.3361711044,38.05,380.135862512,3,1,4,0,5,27,48,5,3,1,2,2,0,0,1,1,2
395878,10.5,6.3155,122.8188,184.0178356362,38.05,430.151512576,3,1,4,0,5,31,54,6,4,1,2,2,0,0,2,1,2
395879,183.75,6.3155,122.8188,184.0178356362,38.05,430.151512576,3,1,4,0,5,31,54,6,4,1,2,2,0,0,2,1,2
395901,54,6.254,124.9418,186.3774723658,38.05,424.19509164,3,1,3,0,4,32,57,6,4,1,2,1,0,0,3,1,2
395902,215.5,6.254,124.9418,186.3774723658,38.05,424.19509164,3,1,3,0,4,32,57,6,4,1,2,1,0,0,3,1,2
395903,419.75,5.847,117.2078,179.1718016298,51.19,414.174356196,3,1,4,0,5,31,54,6,4,1,2,2,0,0,2,1,2
395904,361.25,5.847,117.2078,179.1718016298,51.19,414.174356196,3,1,4,0,5,31,54,6,4,1,2,2,0,0,2,1,2
401024,17.78,5.58292,132.2835,211.4072566072,92.43,514.207942068,7,2,5,1,9,37,66,5,3,1,2,1,0,0,2,1,2
401028,1000,4.9792,110.5618,172.3307912619,42.23,415.175913668,5,1,3,0,6,30,54,4,3,0,1,1,0,0,2,0,1
401031,1000,5.3693,115.1788,178.6957333763,42.23,429.191563732,6,1,3,0,6,31,57,4,3,0,1,1,0,0,2,0,1
401033,41.69,5.6881,104.3565,161.9488101153,36.02,387.180999048,5,2,1,0,5,28,52,4,3,0,1,1,0,0,2,0,1
401035,63.115,6.0782,108.9735,168.3137522297,36.02,401.196649112,6,2,1,0,5,29,55,4,3,0,1,1,0,0,2,0,1
401037,55.085,6.2583,118.4255,185.43621614,59.81,440.207548144,6,2,2,0,6,32,59,4,3,0,1,1,0,0,2,0,1
401038,1000,5.94988,113.6885,179.0712740256,59.81,426.19189808,6,2,2,0,6,31,56,4,3,0,1,1,0,0,2,0,1
401040,1000,5.4732,106.7685,167.5334002107,48.91,402.19189808,6,2,2,0,6,29,54,4,3,0,1,2,0,0,1,0,1
401041,3679.34,6.1451,112.4178,174.3242397897,33.12,413.196649112,6,1,2,0,5,30,56,4,3,0,1,1,0,0,2,0,1
401051,51.29,6.7985,117.4278,184.6275060165,33.12,447.15767676,6,1,2,0,6,31,56,4,3,0,1,1,0,0,2,0,1
401054,10000,6.9253,124.0848,192.4132349793,33.12,453.22794924,6,1,2,0,5,33,63,5,3,1,2,1,0,0,2,1,2
401062,5006.44,5.755,107.8008,167.9592976753,33.12,399.180999048,5,1,2,0,5,29,53,4,3,0,1,1,0,0,2,0,1
401070,1000,6.0145,117.2035,179.8741019733,45.15,428.207548144,7,2,3,0,6,31,58,4,3,0,1,1,0,0,2,0,1
401077,118.68,6.32292,121.9405,186.2390440877,45.15,442.223198208,7,2,3,0,6,32,61,4,3,0,1,1,0,0,2,0,1
401103,516.18,6.0145,117.2035,179.8741019733,45.15,428.207548144,7,2,3,0,6,31,58,4,3,0,1,1,0,0,2,0,1
401105,132.68,5.6244,112.5865,173.5091598589,45.15,414.19189808,6,2,3,0,6,30,55,4,3,0,1,1,0,0,2,0,1
401124,40.995,5.93282,117.3235,179.8741019733,45.15,428.207548144,6,2,3,0,6,31,58,4,3,0,1,1,0,0,2,0,1
401128,13.49,5.6244,112.5865,173.5091598589,45.15,414.19189808,6,2,3,0,6,30,55,4,3,0,1,1,0,0,2,0,1
401141,0.895,4.43,120.8678,201.1073926108,80.67,500.184429752,6,1,6,0,9,34,65,4,0,3,4,0,0,0,0,3,4
426148,20,6.49442,104.2154,147.781214336,27.82,338.154976416,1,2,1,0,3,24,47,4,3,0,1,1,0,1,2,0,0
442013,298700,4.4779,108.6474,169.6538184015,77.76,392.29265976,4,3,3,0,4,28,68,4,0,4,4,0,0,0,0,4,4
454689,2500,3.308,213.3033,336.6003865098,186.68,799.478308912,22,7,10,2,13,57,123,5,1,3,4,0,0,0,1,3,4
454690,33,3.9733,210.8728,336.0778768196,166.89,797.462658848,19,5,10,2,13,57,121,6,1,4,5,0,1,1,1,3,4
454691,1860,0.7045,224.1726,361.5454140527,255.71,869.458636088,24,8,11,5,17,62,126,5,1,3,4,0,0,0,1,3,4
459220,5000,4.9263,112.6849,172.8821756693,92.47,400.14230712,4,2,4,1,6,30,50,6,3,0,3,0,0,0,3,0,3
